iter	Logloss
0	0.6863962981
1	0.6804328343
2	0.6737709533
3	0.6688894583
4	0.6625432369
5	0.6576162958
6	0.6522808975
7	0.6474121734
8	0.6425117924
9	0.6375104984
10	0.6324198626
11	0.6262936461
12	0.6203026098
13	0.6155936569
14	0.6113067104
15	0.605956687
16	0.5995987735
17	0.5956275689
18	0.5905808874
19	0.5861999136
20	0.5809041736
21	0.5757662417
22	0.571707622
23	0.5666523459
24	0.5625064224
25	0.5578956845
26	0.552228542
27	0.5471660031
28	0.5433326044
29	0.5382033154
30	0.5345535822
31	0.530336119
32	0.5254973232
33	0.5211596445
34	0.5169495622
35	0.5127206362
36	0.5079126099
37	0.5047668267
38	0.500213819
39	0.4958501767
40	0.4910353971
41	0.4873620523
42	0.4836458132
43	0.4815231311
44	0.478606892
45	0.4748645493
46	0.4706857601
47	0.4667026429
48	0.4625576889
49	0.4588558402
50	0.4549183584
51	0.4508341154
52	0.446516617
53	0.4421519479
54	0.4387792498
55	0.4348416782
56	0.4311880922
57	0.4277480049
58	0.4241152853
59	0.4198714813
60	0.4168221933
61	0.4134029289
62	0.4096958847
63	0.4068222268
64	0.4040314464
65	0.4015645741
66	0.3995495778
67	0.3965764027
68	0.3937744538
69	0.390844361
70	0.3874231941
71	0.3850153383
72	0.3814954363
73	0.3785495115
74	0.3759828147
75	0.3732809917
76	0.3711856263
77	0.3683840132
78	0.3658401478
79	0.3633671313
80	0.3608366694
81	0.3583268906
82	0.3562762671
83	0.3535468173
84	0.3508965568
85	0.3488144352
86	0.3469582345
87	0.3448813719
88	0.3426847335
89	0.3400078076
90	0.3374763084
91	0.3347588245
92	0.3322222723
93	0.329558163
94	0.3275107077
95	0.3254018839
96	0.3223790944
97	0.3205699227
98	0.318726217
99	0.3168451201
100	0.3146924451
101	0.3122917011
102	0.3097682452
103	0.3072873406
104	0.3048510777
105	0.3029158195
106	0.3005249928
107	0.2986934286
108	0.2964988804
109	0.2941054662
110	0.2922261464
111	0.2900368711
112	0.2883377133
113	0.2866919985
114	0.2848841238
115	0.282613674
116	0.2805916847
117	0.2786379627
118	0.2767154216
119	0.2749622582
120	0.2736801713
121	0.2719916027
122	0.270418961
123	0.2686906493
124	0.2672979936
125	0.2655519908
126	0.2641475269
127	0.262096147
128	0.2601057335
129	0.2583656715
130	0.2572085905
131	0.2558039731
132	0.2538142873
133	0.2521149611
134	0.2505979847
135	0.2492286101
136	0.2477299026
137	0.2460759095
138	0.2447443396
139	0.2433391231
140	0.2418080982
141	0.2406730147
142	0.2391981432
143	0.2374874586
144	0.2360700411
145	0.2347909286
146	0.2334903014
147	0.232034328
148	0.2307113539
149	0.2294816264
150	0.2274351685
151	0.2260382851
152	0.2247266173
153	0.2234251224
154	0.2222667137
155	0.2207936556
156	0.2197487981
157	0.2184440933
158	0.2172653652
159	0.2161326174
160	0.2151316236
161	0.2136762294
162	0.2122324577
163	0.2106502687
164	0.2095973187
165	0.208261954
166	0.2070671656
167	0.205932947
168	0.2048316755
169	0.2034825135
170	0.2024641556
171	0.2012165908
172	0.199956071
173	0.1983979985
174	0.1970916795
175	0.1960320268
176	0.1951870216
177	0.1941520779
178	0.1931678025
179	0.1917489759
180	0.1908942906
181	0.1897275675
182	0.1885458523
183	0.1874903906
184	0.1864302152
185	0.185654746
186	0.1847531063
187	0.1838570122
188	0.1826056369
189	0.1816909884
190	0.1807177682
191	0.17958235
192	0.1789369639
193	0.1781767149
194	0.1770859839
195	0.1761239916
196	0.1750571525
197	0.1741268468
198	0.1733786227
199	0.1722583891
200	0.1714496079
201	0.1706036646
202	0.1697639639
203	0.1688037143
204	0.1678997391
205	0.1670943002
206	0.1663004144
207	0.1654477377
208	0.1647122666
209	0.1640622357
210	0.1634364467
211	0.1624230799
212	0.1618012285
213	0.1611108609
214	0.1603086528
215	0.1595630887
216	0.1588490483
217	0.1580261684
218	0.1571436691
219	0.1565798252
220	0.1557572546
221	0.1550492964
222	0.1542148231
223	0.1534573104
224	0.1526406102
225	0.1518673351
226	0.1509971124
227	0.1504406062
228	0.1498410075
229	0.1492201193
230	0.148400107
231	0.1476754217
232	0.1471323706
233	0.1466605253
234	0.1459310005
235	0.1453724947
236	0.1443729987
237	0.1437358257
238	0.1429992734
239	0.1420980672
240	0.1414928451
241	0.1410582684
242	0.1404718946
243	0.139792473
244	0.1392503977
245	0.1386779629
246	0.1379864995
247	0.1373423481
248	0.1367671641
249	0.136051143
250	0.1354391821
251	0.1349535962
252	0.1342797446
253	0.1336316382
254	0.1331372953
255	0.1325047818
256	0.1320153933
257	0.1314440827
258	0.1309354606
259	0.1302902462
260	0.1297892773
261	0.1289570216
262	0.1284376798
263	0.1277339782
264	0.1271187404
265	0.1262706728
266	0.1256171517
267	0.1251041126
268	0.1245654049
269	0.1239450977
270	0.123479891
271	0.1229538917
272	0.122556677
273	0.1219601075
274	0.1215852329
275	0.1210515735
276	0.1205084026
277	0.119980508
278	0.1193204771
279	0.1186626107
280	0.1181615047
281	0.1176556562
282	0.1170474492
283	0.1166234348
284	0.116127001
285	0.1156218561
286	0.1152127626
287	0.1148617085
288	0.1143849155
289	0.1139422165
290	0.1134933252
291	0.1130404026
292	0.1124748989
293	0.1118737683
294	0.111467615
295	0.1110508882
296	0.1104704228
297	0.1100919469
298	0.1096323173
299	0.1091728027
300	0.1087690133
301	0.1080540704
302	0.1074730199
303	0.1069956566
304	0.1065649033
305	0.1061607371
306	0.1058766997
307	0.1054277921
308	0.1049927466
309	0.104580192
310	0.1041931768
311	0.1037753199
312	0.103246801
313	0.1028370302
314	0.102482255
315	0.102110734
316	0.1017105992
317	0.1013152969
318	0.1010121434
319	0.1006039299
320	0.1002517015
321	0.09990295375
322	0.09955983345
323	0.09924980277
324	0.0988827737
325	0.09853301523
326	0.09802909621
327	0.09774380737
328	0.09728182832
329	0.09675859975
330	0.09629019604
331	0.09589461925
332	0.09554661668
333	0.09522522973
334	0.09497334858
335	0.09464802892
336	0.09423827312
337	0.0939287607
338	0.09355189313
339	0.09306783172
340	0.09266508686
341	0.0922308506
342	0.09182968735
343	0.09142356409
344	0.09106478194
345	0.09066870349
346	0.09032607733
347	0.09002573875
348	0.08969390117
349	0.08937826275
350	0.08899684327
351	0.08872170797
352	0.08836873497
353	0.0880948355
354	0.08784219109
355	0.08743776756
356	0.08699862847
357	0.08674861534
358	0.08644740353
359	0.08618204736
360	0.08565374299
361	0.08529124765
362	0.08505898236
363	0.08477602616
364	0.08448996772
365	0.08418816848
366	0.08391746187
367	0.08363002214
368	0.08327447093
369	0.08308662356
370	0.08277948678
371	0.08248647082
372	0.08223871789
373	0.08187315036
374	0.08144315422
375	0.08118223113
376	0.08081454112
377	0.08054609407
378	0.08025930866
379	0.07991000063
380	0.07967198044
381	0.07941437295
382	0.07919225753
383	0.07891051125
384	0.07868697669
385	0.07842276778
386	0.07810822588
387	0.07784866122
388	0.07748745409
389	0.07720087135
390	0.07695388386
391	0.07673414048
392	0.07646096161
393	0.07621603993
394	0.07596665454
395	0.07569722665
396	0.07549078871
397	0.07530660108
398	0.07506020054
399	0.074804795
400	0.07454907623
401	0.07434925292
402	0.07412935952
403	0.07379898908
404	0.07348816283
405	0.07328766115
406	0.07305727313
407	0.07270576443
408	0.07247305215
409	0.07218266573
410	0.07197916957
411	0.07172971917
412	0.07145558744
413	0.07125216262
414	0.07097324083
415	0.07067631185
416	0.07048238015
417	0.07022055284
418	0.06998256793
419	0.06967563837
420	0.06943906222
421	0.06922304768
422	0.06903676768
423	0.0688543932
424	0.0686642323
425	0.06845061165
426	0.06817890177
427	0.06802781701
428	0.06766625902
429	0.06746712873
430	0.06724729915
431	0.06707536478
432	0.06687066783
433	0.06663119438
434	0.06644436284
435	0.06623605659
436	0.0659766787
437	0.06579654992
438	0.06558057591
439	0.06535712419
440	0.06512945875
441	0.0649996543
442	0.06471516574
443	0.0644819507
444	0.06435713399
445	0.06413344278
446	0.06391869314
447	0.06375954957
448	0.06359272724
449	0.06329703035
450	0.06312174165
451	0.06300645326
452	0.06284014181
453	0.06261922663
454	0.06245076871
455	0.06227170952
456	0.06206120415
457	0.06188034261
458	0.0616858381
459	0.06147482071
460	0.06131484568
461	0.06117730223
462	0.06088803007
463	0.06061478465
464	0.06040775986
465	0.06025077571
466	0.06003598255
467	0.059856622
468	0.05971620853
469	0.05952925206
470	0.05930656827
471	0.05911843935
472	0.05892805025
473	0.0587234041
474	0.05855677075
475	0.05841856503
476	0.05825492953
477	0.05810354752
478	0.0579494931
479	0.05774137919
480	0.05755271712
481	0.05738123465
482	0.05724403851
483	0.05706807484
484	0.05694996783
485	0.05676911794
486	0.0565748161
487	0.05633849433
488	0.05613490759
489	0.05596553444
490	0.05579019165
491	0.05563796855
492	0.05548702686
493	0.05533769927
494	0.05520120714
495	0.05503613206
496	0.05484553052
497	0.05466590767
498	0.05444714825
499	0.05431350561
500	0.05416527464
501	0.05402263042
502	0.05389475055
503	0.05375967786
504	0.05362720959
505	0.05346525071
506	0.053328536
507	0.05310864216
508	0.05287120025
509	0.0526636654
510	0.05253251907
511	0.05240743837
512	0.05229110867
513	0.05210680007
514	0.05197896627
515	0.05183521727
516	0.05169937375
517	0.05157922685
518	0.05148693055
519	0.05131310672
520	0.05115934957
521	0.0510093756
522	0.05085056186
523	0.05074810988
524	0.05058963365
525	0.05043796805
526	0.05032599995
527	0.05019280797
528	0.04999556488
529	0.04983451485
530	0.04960085157
531	0.04948804371
532	0.04931025147
533	0.04915391651
534	0.04897076913
535	0.04884789781
536	0.04863415549
537	0.0485284775
538	0.04837726756
539	0.04824855326
540	0.04811116287
541	0.04800304139
542	0.04788711269
543	0.04769587936
544	0.04756999276
545	0.04742082094
546	0.0473094409
547	0.04718703742
548	0.04703675744
549	0.04690624073
550	0.04676583231
551	0.04660130244
552	0.04648129862
553	0.04635235267
554	0.04624934147
555	0.04618063697
556	0.0460504641
557	0.04596260041
558	0.04586023522
559	0.04572659282
560	0.04559809548
561	0.04549570635
562	0.04538124703
563	0.04525928013
564	0.04513920237
565	0.04500934858
566	0.04489439887
567	0.04478889491
568	0.04466220516
569	0.04455281489
570	0.04444734318
571	0.0443355168
572	0.04417030244
573	0.0440364005
574	0.04394618728
575	0.04382633345
576	0.04373098601
577	0.0435840509
578	0.04348312424
579	0.04332898786
580	0.04323212831
581	0.04309724546
582	0.04297738067
583	0.04281585041
584	0.04273335419
585	0.04262284194
586	0.04251806779
587	0.04240549554
588	0.04231729212
589	0.04226477378
590	0.04219508068
591	0.04210394877
592	0.04199085955
593	0.04190492173
594	0.04179327658
595	0.04171490409
596	0.04157756571
597	0.04149059708
598	0.04138387129
599	0.04127925026
600	0.04116954176
601	0.04100926827
602	0.04094422367
603	0.04087884544
604	0.0407682834
605	0.04063336645
606	0.04051307135
607	0.04039806378
608	0.04028229751
609	0.04018702389
610	0.04008249625
611	0.0400290304
612	0.03996260523
613	0.03980637004
614	0.03970331168
615	0.03958006153
616	0.03947984617
617	0.03939975802
618	0.03932810803
619	0.03922362559
620	0.03912103572
621	0.03904035232
622	0.03894057121
623	0.03886610686
624	0.03872209235
625	0.03861705848
626	0.03852067074
627	0.03844639245
628	0.03834413258
629	0.03826098448
